Application,Timestamp,Description,Dimensions,Reference Frame,Proximity,Target Type,Interactor,Indication,Confirmation,Outcome
Star Wars: Tales from the Galaxy's Edge,https://youtu.be/Jl57eIlCZtg?si=NxVMMu0d-maGkUbO&t=1446,13. Press a 3D key,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Automatic,System control
Star Wars: Tales from the Galaxy's Edge,https://youtu.be/Jl57eIlCZtg?si=-ZxqAhj_By1Yv2Ki&t=1552,14. Throw darts,3D,Environment,Extrapersonal,3D Object,Handheld object,Aiming - Throwing,Analog - Release,System control
Star Wars: Tales from the Galaxy's Edge,https://youtu.be/Jl57eIlCZtg?si=6xW-gQV0rGbi216f&t=1586,15. Playing drum like instrument,3D,Environment,Peripersonal,3D Object,Handheld object,Intersecting,Automatic,System control
Star Wars: Tales from the Galaxy's Edge,https://youtu.be/Jl57eIlCZtg?si=CialScdecqgEm_i6&t=1721,16. Rotate a stuff to select state,3D,Environment,Peripersonal,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
Star Wars: Tales from the Galaxy's Edge,https://youtu.be/Jl57eIlCZtg?si=GpIGgE7FEyukQzMU&t=1963,17. Select from a hand UI,2D,Torso,On-Body,UI Element,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Wolves in the Walls,https://youtu.be/P-60HT2kL3A?si=Q8KI9FAxlRQTSaRR&t=25,1. Grab objects with hand,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Wolves in the Walls,https://youtu.be/P-60HT2kL3A?si=y2Vn3SiHQju-Rglu&t=497,2. Pull lever to create jam can,3D,Environment,Peripersonal,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
Wolves in the Walls,https://youtu.be/P-60HT2kL3A?si=U7dEpwfiFdlBMDky&t=820,3. Throw/Drop things into cauldron,3D,Environment,Peripersonal,3D Object,Handheld object,Aiming - Throwing,Analog - Release,System control
Wolves in the Walls,https://youtu.be/P-60HT2kL3A?si=g7659u7jKknqala6&t=864,4. Melee enemies with sword,3D,Environment,Peripersonal,Avatar,Handheld object,Intersecting,Automatic,System control
Myst,https://youtu.be/MK3xmWD95B8?t=7382,1. Press a 3D button,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Press-in motion,System control
Myst,https://youtu.be/MK3xmWD95B8?t=342,2. Move a lever on a UI pannel to select what field to modify in it.,2D,Environment,Peripersonal,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
Myst,https://youtu.be/MK3xmWD95B8?t=705,3. Press buttons on a rectangular passcode UI,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Automatic,System control
Myst,https://youtu.be/MK3xmWD95B8?t=728,4. Grab an object from the VE,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Myst,https://youtu.be/MK3xmWD95B8?t=3439,5. Dwell over an object to activate a sequence,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Dwell,System control
Myst,https://youtu.be/MK3xmWD95B8?t=3463,6. Touch an area with handheld to activate sequence,3D,Environment,Peripersonal,3D Object,Handheld object,Intersecting,Automatic,System control
Myst,https://youtu.be/dhoUG8-FoXE?si=5Npr8aIZPONAmt2K&t=345,7. Grab on object from VE (hand tracking),3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Hand Tracking - Click gesture,Acquisition
Paper Birds: Part I & II,https://youtu.be/X3gE9xs0IL0?si=g7cY7x6bw8mN_95g&t=43,1. 2D UI with a single selectable,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Paper Birds: Part I & II,https://youtu.be/BLIk6BtAsSk?si=sDQsATYEOH4wk4UJ&t=13,2. 2D UI with single selectable (hand tracking),2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Hand Tracking - Click gesture,System control
Paper Birds: Part I & II,https://youtu.be/X3gE9xs0IL0?si=qF6BNaM4dEZXvD-x&t=51,3. Dwell with hands in an area to activate sequence,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Dwell,System control
Star Wars™ Pinball VR,https://youtu.be/COaU9u6YqBs?si=HJ9g3rrliqMwkBE5&t=120,1. General UI Interaction,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Star Wars™ Pinball VR,https://youtu.be/COaU9u6YqBs?si=xJUSsMChcrDScyCA&t=221,2. Interact with ball pusher,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Release,System control
Traffic Jams,https://youtu.be/Kk-6owPABZw?t=180,1. Select objects at a distance through pointing,3D,Environment,Extrapersonal,3D Object,Ray - Visible,Pointing - Hand ray,Analog - Continued Press,Acquisition
Traffic Jams,https://youtu.be/Kk-6owPABZw?t=301,2. Select from a hand-held UI (pointing),2D,Hand,On-Body,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Traffic Jams,https://youtu.be/Kk-6owPABZw?t=441,3. Select from a hand-held UI through touch,2D,Hand,On-Body,UI Element,Virtual hand,Intersecting,Automatic,System control
Traffic Jams,https://youtu.be/Kk-6owPABZw?t=569,4. Select targets to throw phrisbee at,3D,Environment,Extrapersonal,3D Object,Handheld object,Aiming - Throwing,Analog - Release,System control
Traffic Jams,https://youtu.be/Kk-6owPABZw?t=1026,5. Punch enemies,3D,Environment,Peripersonal,Avatar,Virtual hand,Intersecting,Automatic,System control
Traffic Jams,https://youtu.be/Kk-6owPABZw?si=D_BugHplmHWq477_&t=377,6. Point and gesture at avatars,3D,Environment,Extrapersonal,Avatar,Ray - Visible,Pointing - Hand ray,Automatic,System control
Floor Plan 2,https://youtu.be/ZUt-p0Lw6C0?si=qmxspjr9iu1iUfME&t=17,1. Touch and dwell on a 3D button,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Dwell,System control
Floor Plan 2,https://youtu.be/ZUt-p0Lw6C0?si=HuIbgtmtKX4tKa56&t=32,2. Drag knob into one of positions,3D,Environment,Peripersonal,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
Floor Plan 2,https://youtu.be/ZUt-p0Lw6C0?si=5SRg9oTd0SF2Gdvu&t=170,3. Grab an object,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Floor Plan 2,https://youtu.be/ZUt-p0Lw6C0?si=5hJYiCJevwca-Cns&t=320,5. Insert object into on-torso slot,3D,Torso,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Floor Plan 2,https://youtu.be/ZUt-p0Lw6C0?si=IT858RhZLKiTLooc&t=2983,6. Grab an object from on-torso slot,3D,Torso,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Floor Plan 2,https://youtu.be/ZUt-p0Lw6C0?si=yZPJ8N8v90nGofzO&t=710,7. Rotate a knob,3D,Environment,Peripersonal,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
Floor Plan 2,https://youtu.be/ZUt-p0Lw6C0?si=4c5RU3aPkEPrsssT&t=1099,8. Throw a 3D puzzle piece to target,3D,Environment,Extrapersonal,3D Object,Handheld object,Aiming - Throwing,Analog - Release,System control
Floor Plan 2,https://youtu.be/ZUt-p0Lw6C0?si=GdHTJFXeeA_Lf1Oy&t=489,9. Place a puzzle piece into a slot,3D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Floor Plan 2,https://youtu.be/ZUt-p0Lw6C0?si=pDNr_czLevrNxhC-&t=918,10. Touch a 3d button in elevator,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Automatic,System control
Floor Plan 2,https://youtu.be/ZUt-p0Lw6C0?si=2LpdPPQkWcHVg9-E&t=1340,11. Wear a hat on the head,3D,Head,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Floor Plan 2,https://youtu.be/ZUt-p0Lw6C0?si=IsOkl4cMZb9qsyrL&t=168,12. Gaze pointing to a pre-determined teleport location and unhold to confirm,3D,Environment,Extrapersonal,3D Object,Ray - Invisible,Pointing - Head gaze,Analog - Release,System control
Demeo,https://youtu.be/b4gXdEyAJqE?si=5avSoPODsbS3dMvQ&t=101,1. Torso-referenced floating UI,2D,Torso,On-Body,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Demeo,https://youtu.be/b4gXdEyAJqE?si=6bcXGz_IcCCD8JkD&t=240,3. Insert champion into one of the slots,3D,Environment,Extrapersonal,Storage unit,Handheld object,Pointing - Hand ray,Analog - Release,System control
Demeo,https://youtu.be/b4gXdEyAJqE?si=u7fCr__TB-_lUH8q&t=804,5. 2D main menu,2D,Environment,Peripersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Demeo,https://youtu.be/b4gXdEyAJqE?si=M5PNx5pBqbzztJ7b&t=1510,6. Throw dice on a play board,3D,Environment,Peripersonal,3D Object,Handheld object,Aiming - Throwing,Analog - Release,System control
Zombieland: Headshot Fever,https://youtu.be/BBiIkM3j62U?si=qEAZSM_bv-tQvI9K&t=575,1. Shoot at zombies,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Click,System control
Zombieland: Headshot Fever,https://youtu.be/BBiIkM3j62U?t=502,2. Select from a UI with ray,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Zombieland: Headshot Fever,https://youtu.be/BBiIkM3j62U?si=WH3tTsz4M2k4xpCO&t=250,3. Intersect mag with handheld gun to reload,3D,Torso,On-Body,3D Object,Handheld object,Intersecting,Automatic,System control
Zombieland: Headshot Fever,https://youtu.be/BBiIkM3j62U?t=905,4. Grab an object (weapon) from waistline slot,3D,Torso,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Zombieland: Headshot Fever,https://youtu.be/BBiIkM3j62U?si=mO5U2M4VGiMNuN82&t=1134,5. Point to a pre-defined location and click,3D,Environment,Extrapersonal,3D Object,Ray - Invisible,Pointing - Hand ray,Analog - Click,System control
YUKI Space Ranger,https://youtu.be/ANhU4M0WeDw?si=Nvsgo4OJ6JZ0yB_H&t=49,1. Grabbing items directly,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
YUKI Space Ranger,https://youtu.be/ANhU4M0WeDw?si=LZXdP2Sr0SIvBizr&t=634,2. UI pointing,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Dwell,System control
YUKI Space Ranger,https://youtu.be/ANhU4M0WeDw?si=ulaL51heLzg_7ACI&t=111,3. Directly intersect items to collect them,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Automatic,System control
YUKI Space Ranger,https://youtu.be/szzTCFzyI8A?si=VLNE1Y-A_82VSPah&t=258,4. Shoot at enemies,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Pointing - Hand ray,Analog - Click,System control
Sweet Surrender,https://youtu.be/OeTD0IumXj4?si=D-F6vWyueBxa9Kbc&t=20,1. General UI Interaction,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Sweet Surrender,https://youtu.be/OeTD0IumXj4?si=44OBnLEIjQQ4OuC6&t=232,3. Shooting,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Click,System control
Sweet Surrender,https://youtu.be/0PJqXZo2yho?si=sEH_Vio79MLtixri&t=129,4. Throw grenades at enemies,3D,Environment,Extrapersonal,Avatar,Handheld object,Aiming - Throwing,Analog - Release,System control
Sweet Surrender,https://youtu.be/jDwmXnmqNPk?si=OBWcCM1VioP5h8bX&t=488,5. Grab items from on-torso inventory,3D,Torso,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Sweet Surrender,https://youtu.be/jDwmXnmqNPk?si=nQyc34TxmyH0jFKs&t=129,6. Insert items into on-torso inventory,2D,Torso,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Sweet Surrender,https://youtu.be/OeTD0IumXj4?si=4mCgZXbndP0K0xpw&t=211,7. Touch 3D button,3D,Environment,Peripersonal,3D Object,Handheld object,Intersecting,Press-in motion,System control
Sweet Surrender,https://youtu.be/OeTD0IumXj4?si=GPs8_9HF-1Ny7kUn&t=582,8. Insert item into on-hand slot,3D,Hand,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Sweet Surrender,https://youtu.be/jDwmXnmqNPk?si=08Pu5bcVP7zTXL1K&t=1262,9. Point to 3D objects with a visible ray,3D,Environment,Extrapersonal,3D Object,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Sweet Surrender,https://youtu.be/0PJqXZo2yho?si=s5OZAIUTKGFcTFdE&t=1971,10. Hit enemy with handheld,3D,Environment,Peripersonal,Avatar,Handheld object,Intersecting,Automatic,System control
Puzzling Places,https://youtu.be/JZvnlf57pO0?t=18,1. Point and click to flat UI,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Puzzling Places,https://youtu.be/JZvnlf57pO0?t=269,2. Directly grab pieces,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Puzzling Places,https://youtu.be/JZvnlf57pO0?t=462,3. Insert into a 2D puzzle slot,2D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Puzzling Places,https://youtu.be/JZvnlf57pO0?t=745,4. Insert into a 3D puzzle slot,3D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Puzzling Places,https://youtu.be/PgJD1aXipxM?si=rmaIzT2MKdNTKHly&t=20,6. Select UI element by pinching (hand tracking),2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Hand Tracking - Click gesture,System control
Puzzling Places,https://youtu.be/PgJD1aXipxM?si=M9y-uTBaxXFEywF8&t=120,7. Send a piece back to a slot by releasing it while pointing at it (hand tracking),2D,Environment,Extrapersonal,Storage unit,Ray - Visible,Pointing - Hand ray,Hand Tracking - Release gesture,System control
Puzzling Places,https://youtu.be/PgJD1aXipxM?si=foZb1XPLoOpnnI4v&t=102,8. Send a piece back by double pinching (hand tracking),3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Hand Tracking - Click gesture,System control
Puzzling Places,https://youtu.be/PgJD1aXipxM?si=1AOfK7wqBj_xvRzY&t=153,9. Grab the piece with second hand to enable scaling (hand tracking),3D,Hand,On-Body,3D Object,Virtual hand,Intersecting,Hand Tracking - Hold gesture,Acquisition
Puzzling Places,https://youtu.be/PgJD1aXipxM?si=_uvgLJZCP5NnQEEd&t=90,10. Directly grab a piece (hand tracking),3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Hand Tracking - Hold gesture,Acquisition
Garden of the Sea,https://youtu.be/l8uvVZ90A60?si=e1STN2umG8DKLtpY&t=180,2. Throw to a target,3D,Environment,Extrapersonal,3D Object,Handheld object,Aiming - Throwing,Analog - Release,System control
Garden of the Sea,https://youtu.be/l8uvVZ90A60?si=J6fGcj50UZ0615v9&t=406,3. Grab items from on-hand inventory,3D,Hand,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Garden of the Sea,https://youtu.be/l8uvVZ90A60?si=J9wvM2VRuBlocnKC&t=290,4. Insert into on-hand slot,3D,Hand,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Garden of the Sea,https://youtu.be/l8uvVZ90A60?si=4rPAgiyYYSPgI9a7&t=597,5. Pet creatures int the world,3D,Environment,Peripersonal,Avatar,Virtual hand,Intersecting,Dwell,System control
Garden of the Sea,https://youtu.be/l8uvVZ90A60?si=4P7F8gIt1qf-OvwV&t=633,6. Select from 2D UI,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Garden of the Sea,https://youtu.be/l8uvVZ90A60?si=5gmOxeVyc4xD3vjZ&t=1366,7. Insert items into environment inventory,3D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Garden of the Sea,https://youtu.be/l8uvVZ90A60?si=pSL2Lyz0sow-yO1Q&t=8958,8. Point and click on a pre-determined teleportation area,3D,Environment,Extrapersonal,3D Object,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Garden of the Sea,https://youtu.be/l8uvVZ90A60?si=YvGwcLU_wr52Nz_-&t=3818,9. Position a rotatable element into one of positions,3D,Hand,On-Body,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
Garden of the Sea,https://youtu.be/l8uvVZ90A60?si=V85cpO1XSiZCb4EO&t=807,10. Grab from in-environment inventory,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Vox Machinae,https://youtu.be/ET815cqXG00?si=1lRBqjS6w-Q8cE6W&t=1236,1. Directly grabbing items,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Vox Machinae,https://youtu.be/Qi0XVqWo8_A?si=74dMqsEbRFqOcgPK&t=243,2. Aim with head gaze and press trigger,3D,Environment,Extrapersonal,3D Object,Ray - 2D Cursor,Pointing - Head gaze,Analog - Click,System control
Vox Machinae,https://www.youtube.com/watch?v=ET815cqXG00&t=902s,3. Aim with head gaze and press trigger to shoot at enemies,3D,Environment,Extrapersonal,Avatar,Ray - 2D Cursor,Pointing - Head gaze,Analog - Click,System control
Vox Machinae,https://www.youtube.com/watch?v=Qi0XVqWo8_A&t=13676s,4. Touch 2D UI to select,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Automatic,System control
Vox Machinae,https://youtu.be/ET815cqXG00?si=g91ntJeteMuQ2FSa&t=1655,5. Touch on-hand 2D UI to select,2D,Hand,On-Body,UI Element,Virtual hand,Intersecting,Automatic,System control
The Tale of Onogoro,https://youtu.be/1dCcWHciae4?si=AuiJSDCHljESC11D&t=212,1. Grab object from waistline,3D,Torso,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
The Tale of Onogoro,https://youtu.be/1dCcWHciae4?t=545,2. Point and click to select,3D,Environment,Extrapersonal,3D Object,Ray - Visible,Pointing - Hand ray,Analog - Continued Press,Acquisition
The Tale of Onogoro,https://youtu.be/1dCcWHciae4?si=nvW39z-80eaYaH0a&t=1734,3. Shoot at target enemies,3D,Environment,Extrapersonal,Avatar,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
The Tale of Onogoro,https://youtu.be/rW7caDGzWfI?si=mZUj8i5GyIP-jjqG&t=114,4. Point and click on 2D UI,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
The Tale of Onogoro,https://youtu.be/1dCcWHciae4?si=aoW3IeLNaCc3UZjE&t=557,5. Insert item into a slot,3D,Environment,Extrapersonal,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Cosmonious High,https://youtu.be/GllGAzFeXxc?si=wXxF4P7KxsTibO4x&t=9,1. Pick up object with hand,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Cosmonious High,https://youtu.be/GllGAzFeXxc?si=Em50pBIQUBwRhj4w&t=35,2. Touch and dwell on an object,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Dwell,System control
Cosmonious High,https://youtu.be/GllGAzFeXxc?si=rvBqR6qE0m7686O7&t=74,3. Remote grabbing,3D,Environment,Extrapersonal,3D Object,Ray - Invisible,Pointing - Hand ray,Analog - Click,System control
